address,balance_raw,balance_decimal,is_pool,pool_label,tx_count,first_seen_block,last_seen_block,query_timestamp
0x2483a191dFC0d30cAe92626734e180dEB4F5b0A3,0,0.0,False,,4,25003719,25003722,1784895933
0x24f755a0a35b06352a7160bf9538E2273Cc6c35e,0,0.0,False,,2,25003934,25003937,1784895933
0x25DC525C134498AC7a4b56718373cF4478d37B19,0,0.0,False,,1,25003833,25003833,1784895933
0x27A2B15Ff573c91A5C47b295d85Fd64d57b41c17,0,0.0,False,,1,25003591,25003591,1784895933
0x283B9d1C97359b1F0052Fa80745CF9d4923eE8f1,0,0.0,False,,1,25003980,25003980,1784895933
0x28ADddf28006F26B500F916Cb3652aFeB98DD34B,1611094475,0.0,False,,1,25003999,25003999,1784895933
0x28E7E1f99d5Ac44764fBB7b9ed92bD174B28bBfD,0,0.0,False,,6,25003572,25003654,1784895933
0x28b1Dc1a5E3699A428BC51d234DFab7C9CB2a183,0,0.0,False,,10,25003548,25003567,1784895933
0x29d4CEbFDe3444fC5e6ADD53f2a6a03472739C08,0,0.0,False,,2,25003558,25003788,1784895933
0x2Cc3689d9C6253Bf5ddEc64a77eDbff9Ff32cC3D,0,0.0,False,,1,25003807,25003807,1784895933
0x2a7C9A1c58EE325aaf521A8e51eE41CE0D906b49,0,0.0,False,,1,25003834,25003834,1784895933
0x2b5f1A935810C0207177320b4d5A6C2E5A0b6a9b,0,0.0,False,,1,25003901,25003901,1784895933
0x2c4bb0Db39AbD00a319522c37a8ef009D8c09DF3,0,0.0,False,,1,25003766,25003766,1784895933
0x2d87F3707E7EC69Abaab775Fc0921db719F69040,0,0.0,False,,6,25003819,25003836,1784895933
0x2fcEDfdBC6f21B746781c5EB1738be039Def9870,0,0.0,False,,1,25003923,25003923,1784895933
0x30CBf02ef99AC4A4C3ee9e12531953Ae966E9C4d,0,0.0,False,,3,25003921,25003921,1784895933
0x328739e4901Cd242072353Ec377D72Fb87EcA876,0,0.0,False,,2,25003748,25003748,1784895933
0x333690e228dF33A0c800b80Aae90e26e7D46018E,0,0.0,False,,1,25003638,25003638,1784895933
0x33b2A32Ad5c5AF72Dd027b9dcEc73de84B4f5393,0,0.0,False,,2,25003838,25003864,1784895933
0x340be9aCb473110A2eD0f2F5Ae5a8b56173F6f29,0,0.0,False,,3,25003706,25003886,1784895933
0x3431507ebb1C8918976A1ED43092F3CF519Fb1f4,0,0.0,False,,1,25003688,25003688,1784895933
0x3611B82c7B13e72b26eb0E9BE0613bEE7A45aC7c,0,0.0,False,,17,25003572,25003987,1784895933
0x37008364eaE6688966Ffd81d4e6F0E8189Bd236A,0,0.0,False,,52,25003788,25003837,1784895933
0x37A23Be2e3Ab87A25788d120a4a1476A3D570CfF,0,0.0,False,,2,25003572,25003588,1784895933
0x38F5E5b4DA37531a6e85161e337e0238bB27aa90,0,0.0,False,,4,25003850,25003867,1784895933
0x38baC213BfC171CAd01D72ec5B8BFa99c4Fe5792,0,0.0,False,,1,25003733,25003733,1784895933
0x39e6B9423eAA317bFaFCE9044164a153f8387957,0,0.0,False,,1,25003905,25003905,1784895933
0x3DAa2f96e4d06732768CC9C75A99c6A80AcD58fF,0,0.0,False,,5,25003791,25003881,1784895933
0x3DF309F4984a0a2f8D02BEE8FFd05831146F1F2e,0,0.0,False,,1,25003833,25003833,1784895933
0x3E803Afe748E911BB6FC0317D304555B65541eC0,0,0.0,False,,5,25003846,25003949,1784895933
0x3Eb799ec18b5514ae9f662a4D30Cfe700b64DE1E,0,0.0,False,,1,25003605,25003605,1784895933
0x3F5D410eE253Fc8110E87fee01CF02D729D4E848,0,0.0,False,,2,25003908,25003908,1784895933
